YEAR_NBR,GENDER_CD,AGE_GROUP_CD,UC_NIV1,UC_NIV2,UC_NIV3,UC_NIV4,UC_CD,TOT_DEATHS_AMT,STD_DEATHS_NBR
2023,2,65,N00-N99: ziekten van urogenitaal stelsel,N25-N29: overige aandoeningen van nier en ureter,N28: overige niet elders geclassificeerde aandoeningen van nier en ureter,"N289: aandoening van nier en ureter, niet gespecificeerd",N289,1,0.0275
2023,1,70,K00-K93: ziekten van spijsverteringsstelsel,K55-K64: overige ziekten van darmen,K56: paralytische ileus en darmobstructie zonder hernia,K564: overige verstopping van darm,K564,1,0.03
2023,2,95,N00-N99: ziekten van urogenitaal stelsel,N20-N23: urolithiasis,N20: nier- en uretersteen,N200: niersteen,N200,1,0.0164
2023,2,65,K00-K93: ziekten van spijsverteringsstelsel,K65-K67: ziekten van peritoneum,K66: overige aandoeningen van peritoneum,K661: hemoperitoneum,K661,1,0.0275
2023,1,65,K00-K93: ziekten van spijsverteringsstelsel,"K00-K14: ziekten van mondholte, speekselklieren en kaken",K12: stomatitis en verwante aandoeningen,K122: cellulitis en abces van mond,K122,1,0.0275
2023,2,80,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I51: complicaties en slecht omschreven hartziekten,I517: cardiomegalie,I517,1,0.0225
2023,1,40,G00-G99: ziekten van zenuwstelsel,G90-G99: overige aandoeningen van zenuwstelsel,G93: overige hersenaandoeningen,"G931: hersenbeschadiging door zuurstofgebrek [anoxie], niet elders geclassificeerd",G931,1,0.035
2023,2,55,V01-Y98: uitwendige oorzaken van ziekte en sterfte,X60-X84: opzettelijk zichzelf schade toebrengen,X81: opzettelijk zichzelf schade toebrengen door sprong voor of liggen voor bewegend voorwerp,,X81,1,0.026
2023,1,60,V01-Y98: uitwendige oorzaken van ziekte en sterfte,V01-V99: vervoersongevallen,V19: wielrijder gewond bij overige en niet gespecificeerde vervoersongevallen,V193: wielrijder [elke] gewond bij niet gespecificeerd niet-verkeersongeval,V193,1,0.024
2023,1,65,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I50: hartdecompensatie,"I509: hartdecompensatie, niet gespecificeerd",I509,44,1.2375
2023,2,75,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C54: maligne neoplasma van corpus uteri,C541: endometrium,C541,26,0.692
2023,1,85,I00-I99: ziekten van hart en vaatstelsel,I10-I15: hypertensieve ziekten,I11: hypertensieve hartziekte,I110: hypertensieve hartziekte met (congestieve) hartdecompensatie,I110,6,0.168
2023,2,90,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I74: arteriële embolie en trombose,I742: embolie en trombose van arteriën van bovenste extremiteiten,I742,1,0.0184
2023,2,70,F00-F99: psychische stoornissen en gedragsstoornissen,"F40-F48: neurotische, stress-gebonden en somatoforme stoornissen",F41: andere angststoornissen,F412: gemengde angststoornis en depressieve stoornis,F412,1,0.03
2023,1,70,J00-J99: ziekten van ademhalingsstelsel,J09-J18: influenza en pneumonie,"J12: viruspneumonie, niet elders geclassificeerd",J121: pneumonie door respiratoir-syncytieel virus,J121,1,0.03
2023,2,85,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I34: niet-reumatische mitralisklepaandoeningen,I341: mitralis(klep)prolaps,I341,1,0.018
2023,1,85,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C34: maligne neoplasma van bronchus en long,"C349: bronchus of long, niet gespecificeerd",C349,224,6.246
2023,1,55,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C15: maligne neoplasma van oesofagus,"C159: oesofagus, niet gespecificeerd",C159,18,0.481
2023,2,75,I00-I99: ziekten van hart en vaatstelsel,I20-I25: ischemische hartziekten,I21: acuut myocardinfarct,I211: acuut transmuraal myocardinfarct van onderwand,I211,2,0.052
2023,2,70,J00-J99: ziekten van ademhalingsstelsel,J40-J47: chronische aandoeningen van onderste luchtwegen,J43: emfyseem,"J439: emfyseem, niet gespecificeerd",J439,10,0.285
2023,1,80,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,"I38: endocarditis, klep niet gespecificeerd",,I38,16,0.485
2023,1,85,I00-I99: ziekten van hart en vaatstelsel,I60-I69: cerebrovasculaire ziekten,I62: overige niet-traumatische intracraniale bloeding,I620: subdurale bloeding (acuut)(niet-traumatisch),I620,19,0.5295
2023,1,70,J00-J99: ziekten van ademhalingsstelsel,J80-J84: overige respiratoire aandoeningen die hoofdzakelijk interstitium aantasten,J81: longoedeem,,J81,3,0.09
2023,2,70,N00-N99: ziekten van urogenitaal stelsel,N10-N16: tubulo-interstitiële nierziekten,"N12: tubulo-interstitiële nefritis, niet gespecificeerd als acuut of chronisch",,N12,11,0.315
2023,2,60,A00-B99: infectieziekten en parasitaire aandoeningen,B99-B99: overige infectieziekten,B99: overige en niet gespecificeerde infectieziekten,,B99,3,0.078
2023,2,65,V01-Y98: uitwendige oorzaken van ziekte en sterfte,V01-V99: vervoersongevallen,"V89: ongeval met gemotoriseerd of niet-gemotoriseerd voertuig, soort voertuig niet gespecificeerd","V892: persoon gewond bij ongeval met niet gespecificeerd motorvoertuig, verkeersongeval",V892,3,0.0825
2023,1,60,V01-Y98: uitwendige oorzaken van ziekte en sterfte,X60-X84: opzettelijk zichzelf schade toebrengen,"X70: opzettelijk zichzelf schade toebrengen door ophanging, wurging en verstikking",,X70,30,0.786
2023,2,90,I00-I99: ziekten van hart en vaatstelsel,I20-I25: ischemische hartziekten,I24: overige acute ischemische hartziekten,I248: overige gespecificeerde vormen van acute ischemische hartziekte,I248,4,0.0728
2023,1,40,V01-Y98: uitwendige oorzaken van ziekte en sterfte,Y10-Y34: gebeurtenis waarvan niet duidelijk is of deze accidenteel of opzettelijk is ontstaan,Y34: niet gespecificeerde gebeurtenis - opzet niet bepaald,,Y34,13,0.413
2023,2,90,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C25: maligne neoplasma van pancreas,"C259: pancreas, niet gespecificeerd",C259,31,0.564
2023,1,95,E00-E90: endocriene ziekten en voedings- en stofwisselingsstoornissen,E10-E14: diabetes mellitus,E14: niet gespecificeerde diabetes mellitus,E142: niet gespecificeerde diabetes mellitus met niercomplicaties,E142,2,0.1008
2023,2,90,K00-K93: ziekten van spijsverteringsstelsel,K90-K93: overige ziekten van spijsverteringsstelsel,K92: overige ziekten van spijsverteringsstelsel,K921: melaena,K921,2,0.036
2023,2,85,K00-K93: ziekten van spijsverteringsstelsel,K70-K77: ziekten van lever,K75: overige ontstekingsprocessen van lever,K758: overige gespecificeerde ontstekingsprocessen van lever,K758,1,0.018
2023,2,70,I00-I99: ziekten van hart en vaatstelsel,I60-I69: cerebrovasculaire ziekten,I61: intracerebrale bloeding,I614: intracerebrale bloeding in cerebellum,I614,1,0.03
2023,1,90,A00-B99: infectieziekten en parasitaire aandoeningen,B00-B09: virusinfecties gekenmerkt door huid-en slijmvliesafwijkingen,B02: herpes zoster,B029: herpes zoster zonder complicatie,B029,1,0.0384
2023,1,95,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I71: aneurysma en dissectie van aorta,"I714: aneurysma van aorta abdominalis, zonder vermelding van ruptuur",I714,1,0.0504
2023,2,85,A00-B99: infectieziekten en parasitaire aandoeningen,A00-A09: intestinale infecties,A09: diarree en gastro-enteritis van verondersteld infectieuze oorsprong,A090: andere en niet gespecificeerde gastroenteritis en colitis van infectieuse oorsprong,A090,4,0.0705
2023,2,90,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C22: maligne neoplasma van lever en intrahepatische galwegen,C221: carcinoom van intrahepatische galwegen,C221,11,0.2
2023,1,50,I00-I99: ziekten van hart en vaatstelsel,I60-I69: cerebrovasculaire ziekten,I63: cerebraal infarct,I632: cerebraal infarct door niet gespecificeerde occlusie of stenose van precerebrale arteriën,I632,2,0.063
2023,2,95,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C22: maligne neoplasma van lever en intrahepatische galwegen,C221: carcinoom van intrahepatische galwegen,C221,2,0.0326
2023,1,75,K00-K93: ziekten van spijsverteringsstelsel,"K20-K31: ziekten van slokdarm, maag en duodenum",K25: ulcus ventriculi,"K254: ulcus ventriculi, chronisch of niet gespecificeerd met bloeding",K254,3,0.092
2023,2,70,E00-E90: endocriene ziekten en voedings- en stofwisselingsstoornissen,E70-E90: stofwisselingsstoornissen,"E87: overige stoornissen van vocht-, elektrolyten- en zuur-base-evenwicht",E872: acidose,E872,2,0.055
2023,2,30,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I51: complicaties en slecht omschreven hartziekten,I518: overige slecht omschreven hartziekten,I518,1,0.0325
2023,1,55,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I71: aneurysma en dissectie van aorta,"I719: aneurysma van niet gespecificeerd deel van aorta, zonder vermelding van ruptuur",I719,1,0.026
2023,1,85,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I46: hartstilstand,"I461: plotse hartdood, als zodanig omschreven",I461,1,0.0285
2023,2,90,I00-I99: ziekten van hart en vaatstelsel,"I80-I89: ziekten van venen, lymfevaten en lymfeklieren, niet elders geclassificeerd",I89: overige niet-infectieuze aandoeningen van lymfevaten en lymfeklieren,"I890: lymfoedeem, niet elders geclassificeerd",I890,1,0.0184
2023,2,95,J00-J99: ziekten van ademhalingsstelsel,J90-J94: overige aandoeningen van pleura,"J90: vochtophoping in pleuraholte, niet elders geclassificeerd",,J90,1,0.0164
2023,1,70,E00-E90: endocriene ziekten en voedings- en stofwisselingsstoornissen,E70-E90: stofwisselingsstoornissen,E88: overige stofwisselingsstoornissen,"E889: stofwisselingsstoornis, niet gespecificeerd",E889,1,0.03
2023,2,80,K00-K93: ziekten van spijsverteringsstelsel,K55-K64: overige ziekten van darmen,K56: paralytische ileus en darmobstructie zonder hernia,K560: paralytische ileus,K560,1,0.0225
2023,1,25,J00-J99: ziekten van ademhalingsstelsel,J40-J47: chronische aandoeningen van onderste luchtwegen,J44: overige chronische obstructieve longaandoeningen,J440: chronische obstructieve longaandoening met acute infectie van onderste luchtwegen,J440,1,0.03
2023,2,95,"R00-R99: symptomen, afwijkende klinische bevindingen en laboratoriumuitslagen, niet elders geclassificeerd",R00-R09: symptomen betreffende hart en vaatstelsel en ademhalingsstelsel,R09: overige symptomen betreffende hart en vaatstelsel en ademhalingsstelsel,R092: ademhalingsstilstand,R092,58,0.9468
2023,2,85,C00-D48: nieuwvormingen,D37-D48: neoplasmata met onzeker of onbekend gedrag,D43: neoplasma met onzeker of onbekend gedrag van hersenen en centraal zenuwstelsel,"D439: centraal zenuwstelsel, niet gespecificeerd",D439,3,0.0525
2023,1,80,F00-F99: psychische stoornissen en gedragsstoornissen,F10-F19: psychische stoornissen en gedragsstoornissen door gebruik van psychoactieve middelen,F10: psychische stoornissen en gedragsstoornissen door gebruik van alcohol,"F102: psychische stoornissen en gedragsstoornissen door gebruik van alcohol, afhankelijkheidssyndroom",F102,2,0.06
2023,1,90,M00-M99: ziekten van botspierstelsel en bindweefsel,M00-M25: artropathieën,M15: polyartrose,"M159: polyartrose, niet gespecificeerd",M159,3,0.1152
2023,2,40,G00-G99: ziekten van zenuwstelsel,G00-G09: ontstekingsprocessen van centraal zenuwstelsel,"G04: encefalitis, myelitis en encefalomyelitis","G049: encefalitis, myelitis en encefalomyelitis, niet gespecificeerd",G049,2,0.063
2023,1,75,K00-K93: ziekten van spijsverteringsstelsel,K70-K77: ziekten van lever,K70: alcoholische leverziekte,K704: alcoholische leverinsufficiëntie,K704,1,0.032
2023,1,55,J00-J99: ziekten van ademhalingsstelsel,J09-J18: influenza en pneumonie,"J11: influenza, virus niet geïdentificeerd","J111: influenza met overige manifestaties van luchtwegen, virus niet geïdentificeerd",J111,1,0.026
2023,1,65,A00-B99: infectieziekten en parasitaire aandoeningen,A30-A49: overige bacteriële ziekten,A49: bacteriële infectie van niet gespecificeerde lokalisatie,"A490: stafylokokkeninfectie, niet gespecificeerd",A490,1,0.0275
2023,1,75,G00-G99: ziekten van zenuwstelsel,G90-G99: overige aandoeningen van zenuwstelsel,G95: overige ziekten van ruggenmerg,"G952: compressie van ruggenmerg, niet gespecificeerd",G952,1,0.032
2023,2,85,I00-I99: ziekten van hart en vaatstelsel,I60-I69: cerebrovasculaire ziekten,I63: cerebraal infarct,I638: overige gespecificeerde vormen van cerebraal infarct,I638,1,0.018
2023,2,80,K00-K93: ziekten van spijsverteringsstelsel,K55-K64: overige ziekten van darmen,K63: overige darmziekten,"K639: darmziekte, niet gespecificeerd",K639,1,0.0225
2023,2,90,C00-D48: nieuwvormingen,D37-D48: neoplasmata met onzeker of onbekend gedrag,D45: polycythaemia vera,,D45,1,0.0184
2023,2,95,E00-E90: endocriene ziekten en voedings- en stofwisselingsstoornissen,E70-E90: stofwisselingsstoornissen,E85: amyloïdose,E854: amyloïdose beperkt tot orgaan,E854,1,0.0164
2023,2,0,"Q00-Q99: congenitale afwijkingen, misvormingen en chromosoomafwijkingen",Q38-Q45: overige congenitale misvormingen van spijsverteringsstelsel,"Q42: congenitale afwezigheid, atresie en stenose van dikke darm","Q428: congenitale afwezigheid, atresie en stenose van overige gespecificeerde delen van dikke darm",Q428,1,0.032
2023,2,60,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I51: complicaties en slecht omschreven hartziekten,I517: cardiomegalie,I517,1,0.024
2023,1,60,L00-L99: ziekten van huid en subcutis,L00-L08: infecties van huid en subcutis,L00: 'scalded skin syndrome' door stafylokokken,,L00,1,0.024
2023,1,60,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C84: rijp t/nk - cel lymfoom,"C849: rijp t/nk-cel lymfoom, niet gespecificeerd",C849,2,0.054
2023,2,85,D50-D89: ziekten van bloed en bloedvormende organen en bepaalde aandoeningen van immuunsysteem,D50-D53: voedingsanemieën,D50: ijzergebreksanemie,"D509: ijzergebreksanemie, niet gespecificeerd",D509,3,0.0525
2023,2,95,V01-Y98: uitwendige oorzaken van ziekte en sterfte,W00-X59: overige uitwendige oorzaken van letsel door ongeval,W79: inhalatie en ingestie van voedsel leidend tot obstructie van luchtwegen,,W79,4,0.0652
2023,1,70,J00-J99: ziekten van ademhalingsstelsel,J40-J47: chronische aandoeningen van onderste luchtwegen,J44: overige chronische obstructieve longaandoeningen,J440: chronische obstructieve longaandoening met acute infectie van onderste luchtwegen,J440,37,1.125
2023,1,70,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C81: ziekte van hodgkin,"C819: ziekte van hodgkin, niet gespecificeerd",C819,3,0.09
2023,1,85,G00-G99: ziekten van zenuwstelsel,G30-G32: overige degeneratieve ziekten van zenuwstelsel,"G31: overige degeneratieve ziekten van zenuwstelsel, niet elders geclassificeerd",G318: overige gespecificeerde degeneratieve ziekten van zenuwstelsel,G318,11,0.306
2023,2,90,J00-J99: ziekten van ademhalingsstelsel,J09-J18: influenza en pneumonie,"J18: pneumonie, organisme niet gespecificeerd","J181: lobaire pneumonie, niet gespecificeerd",J181,3,0.0544
2023,1,85,J00-J99: ziekten van ademhalingsstelsel,J09-J18: influenza en pneumonie,"J12: viruspneumonie, niet elders geclassificeerd",J121: pneumonie door respiratoir-syncytieel virus,J121,2,0.0555
2023,2,85,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C19: maligne neoplasma van overgang van sigmoïd in rectum,,C19,4,0.0705
2023,2,25,V01-Y98: uitwendige oorzaken van ziekte en sterfte,X60-X84: opzettelijk zichzelf schade toebrengen,X71: opzettelijk zichzelf schade toebrengen door verdrinking en onderdompeling,,X71,1,0.03
2023,2,50,V01-Y98: uitwendige oorzaken van ziekte en sterfte,V01-V99: vervoersongevallen,V03: voetganger gewond bij botsing met auto of (open) bestelwagen,"V031: voetganger gewond bij botsing met auto of (open) bestelwagen, verkeersongeval",V031,1,0.028
2023,2,65,E00-E90: endocriene ziekten en voedings- en stofwisselingsstoornissen,E10-E14: diabetes mellitus,E14: niet gespecificeerde diabetes mellitus,E147: niet gespecificeerde diabetes mellitus met multipele complicaties,E147,1,0.0275
2023,1,80,J00-J99: ziekten van ademhalingsstelsel,J60-J70: longaandoeningen door uitwendige agentia,J67: overgevoeligheidspneumonitis door organisch stof,J672: vogelfokkerslong,J672,1,0.03
2023,2,75,G00-G99: ziekten van zenuwstelsel,G80-G83: cerebrale paralyse en overige paralytische syndromen,G82: paraplegie en tetraplegie,"G822: paraplegie, niet gespecificeerd",G822,1,0.028
2023,2,20,J00-J99: ziekten van ademhalingsstelsel,J95-J99: overige aandoeningen van ademhalingsstelsel,J98: overige respiratoire aandoeningen,J984: overige longaandoeningen,J984,1,0.03
2023,2,75,K00-K93: ziekten van spijsverteringsstelsel,K40-K46: hernia,K46: niet gespecificeerde buikbreuk,"K460: niet gespecificeerde buikbreuken, met obstructie, zonder gangreen",K460,1,0.028
2023,1,30,I00-I99: ziekten van hart en vaatstelsel,I20-I25: ischemische hartziekten,I21: acuut myocardinfarct,"I219: acuut myocardinfarct, niet gespecificeerd",I219,1,0.0325
2023,2,80,I00-I99: ziekten van hart en vaatstelsel,I00-I02: acuut reuma,I01: acuut reuma met hartaandoening,I011: acute reumatische endocarditis,I011,1,0.0225
2023,2,90,N00-N99: ziekten van urogenitaal stelsel,N20-N23: urolithiasis,N20: nier- en uretersteen,"N209: urolithiasis, niet gespecificeerd",N209,1,0.0184
2023,2,75,A00-B99: infectieziekten en parasitaire aandoeningen,A30-A49: overige bacteriële ziekten,A49: bacteriële infectie van niet gespecificeerde lokalisatie,"A498: overige gespecificeerde bacteriële infecties, lokalisatie niet gespecificeerd",A498,1,0.028
2023,2,80,G00-G99: ziekten van zenuwstelsel,G20-G26: extrapiramidale aandoeningen en aandoeningen met abnormale bewegingen,G20: ziekte van parkinson,,G20,91,2.08
2023,2,80,F00-F99: psychische stoornissen en gedragsstoornissen,"F00-F09: organische, inclusief symptomatische, psychische stoornissen",F01: vasculaire dementie,"F019: vasculaire dementie, niet gespecificeerd",F019,16,0.365
2023,2,85,I00-I99: ziekten van hart en vaatstelsel,I05-I09: chronische reumatische hartziekten,I08: multipele klepaandoeningen,I081: aandoeningen van mitralis- én tricuspidaliskleppen,I081,4,0.0705
2023,1,85,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C26: maligne neoplasma van overige en slecht omschreven delen van spijsverteringsstelsel,"C260: tractus intestinalis, deel niet gespecificeerd",C260,18,0.5025
2023,1,70,C00-D48: nieuwvormingen,D37-D48: neoplasmata met onzeker of onbekend gedrag,D37: neoplasma met onzeker of onbekend gedrag van mondholte en tractus digestivus,"D370: lip, mondholte en farynx",D370,2,0.06
2023,1,75,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C71: maligne neoplasma van hersenen,"C719: hersenen, niet gespecificeerd",C719,7,0.216
2023,2,65,J00-J99: ziekten van ademhalingsstelsel,J40-J47: chronische aandoeningen van onderste luchtwegen,J47: bronchiëctasie,,J47,1,0.0275
2023,1,55,V01-Y98: uitwendige oorzaken van ziekte en sterfte,V01-V99: vervoersongevallen,V18: wielrijder gewond bij vervoersongeval zonder botsing,"V184: wielrijder gewond bij vervoersongeval zonder botsing, bestuurder gewond bij verkeersongeval",V184,1,0.026
2023,2,90,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I77: overige aandoeningen van arteriën en arteriolen,I772: ruptuur van arterie,I772,1,0.0184
2023,1,55,V01-Y98: uitwendige oorzaken van ziekte en sterfte,W00-X59: overige uitwendige oorzaken van letsel door ongeval,W17: overige val van ene niveau naar andere,,W17,1,0.026
2023,2,10,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C49: maligne neoplasma van overig bindweefsel en weke delen,"C499: bindweefsel en weke delen, niet gespecificeerd",C499,1,0.0275
2023,1,50,I00-I99: ziekten van hart en vaatstelsel,I60-I69: cerebrovasculaire ziekten,I63: cerebraal infarct,I635: cerebraal infarct door niet gespecificeerde occlusie of stenose van cerebrale arteriën,I635,1,0.028
2023,2,95,K00-K93: ziekten van spijsverteringsstelsel,"K80-K87: aandoeningen van galblaas, galwegen en pancreas",K80: cholelithiasis,K805: steen van galweg zonder cholangitis of cholecystitis,K805,1,0.0164
2023,1,30,V01-Y98: uitwendige oorzaken van ziekte en sterfte,Y85-Y89: late gevolgen van uitwendige oorzaken van ziekte en sterfte,Y85: late gevolgen van vervoersongevallen,Y850: late gevolgen van ongeval met motorvoertuig,Y850,1,0.0325
2023,1,35,V01-Y98: uitwendige oorzaken van ziekte en sterfte,W00-X59: overige uitwendige oorzaken van letsel door ongeval,W57: gebeten of gestoken door niet-giftig insect en overige niet-giftige antropoden,,W57,1,0.035
2023,1,95,V01-Y98: uitwendige oorzaken van ziekte en sterfte,X60-X84: opzettelijk zichzelf schade toebrengen,X74: opzettelijk zichzelf schade toebrengen door schot van overige en niet gespecificeerde vuurwapens,,X74,1,0.0504
2023,1,45,E00-E90: endocriene ziekten en voedings- en stofwisselingsstoornissen,E70-E90: stofwisselingsstoornissen,"E87: overige stoornissen van vocht-, elektrolyten- en zuur-base-evenwicht","E878: overige stoornissen van elektrolyten- en vochtbalans, niet elders geclassificeerd",E878,1,0.035
2023,1,90,C00-D48: nieuwvormingen,D37-D48: neoplasmata met onzeker of onbekend gedrag,"D47: overige neoplasmata met onzeker of onbekend gedrag van lymfoïd, hematopoëtisch en verwant weefsel","D479: neoplasma met onzeker of onbekend gedrag van lymfatisch, hematopoëtisch en verwant weefsel, niet gespecificeerd",D479,1,0.0384
2023,2,85,D50-D89: ziekten van bloed en bloedvormende organen en bepaalde aandoeningen van immuunsysteem,"D65-D69: stollingsstoornissen, purpura en overige hemorragische aandoeningen",D69: purpura en overige hemorragische aandoeningen,D693: idiopathische trombocytopenische purpura,D693,1,0.018
2023,2,65,M00-M99: ziekten van botspierstelsel en bindweefsel,M30-M36: systeemziekten van bindweefsel,M34: systemische sclerose,M341: cr(e)st syndrome,M341,1,0.0275
2023,1,70,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C49: maligne neoplasma van overig bindweefsel en weke delen,C494: bindweefsel en weke delen van abdomen,C494,3,0.09
2023,2,85,J00-J99: ziekten van ademhalingsstelsel,J95-J99: overige aandoeningen van ademhalingsstelsel,J98: overige respiratoire aandoeningen,J987: overige gespecificeerde respiratoire infecties,J987,22,0.387
2023,2,85,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I77: overige aandoeningen van arteriën en arteriolen,"I779: aandoening van arteriën en arteriolen, niet gespecificeerd",I779,3,0.0525
2023,2,80,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C83: niet-folliculair lymfoom,C833: diffuus grootcellig b-cel-lymfoom,C833,8,0.1825
2023,1,65,A00-B99: infectieziekten en parasitaire aandoeningen,A30-A49: overige bacteriële ziekten,A46: erysipelas,,A46,2,0.055
2023,2,90,V01-Y98: uitwendige oorzaken van ziekte en sterfte,W00-X59: overige uitwendige oorzaken van letsel door ongeval,W08: val waarbij overig meubilair betrokken is,,W08,1,0.0184
2023,1,90,M00-M99: ziekten van botspierstelsel en bindweefsel,M40-M54: dorsopathieën,"M53: overige dorsopathieën, niet elders geclassificeerd","M539: dorsopathie, niet gespecificeerd",M539,1,0.0384
2023,2,40,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I49: overige hartritmestoornissen,"I499: ritmestoornis, niet gespecificeerd",I499,1,0.035
2023,1,75,F00-F99: psychische stoornissen en gedragsstoornissen,F70-F79: zwakzinnigheid,F79: niet gespecificeerde zwakzinnigheid,F799: niet gespecificeerde zwakzinnigheid zonder vermelding van gedragsstoornissen,F799,2,0.06
2023,1,55,I00-I99: ziekten van hart en vaatstelsel,"I70-I79: ziekten van arteriën, arteriolen en capillairen",I72: overige aneurysmata,I729: aneurysma van niet gespecificeerde lokalisatie,I729,1,0.026
2023,2,90,I00-I99: ziekten van hart en vaatstelsel,I10-I15: hypertensieve ziekten,I13: hypertensieve hart- én nierziekte,I132: hypertensieve hart-  én nierziekte met (congestieve) hartdecompensatie én nierinsufficiëntie,I132,13,0.236
2023,1,90,J00-J99: ziekten van ademhalingsstelsel,J80-J84: overige respiratoire aandoeningen die hoofdzakelijk interstitium aantasten,J81: longoedeem,,J81,14,0.5384
2023,1,90,J00-J99: ziekten van ademhalingsstelsel,J09-J18: influenza en pneumonie,"J11: influenza, virus niet geïdentificeerd","J110: influenza met pneumonie, virus niet geïdentificeerd",J110,8,0.308
2023,2,70,I00-I99: ziekten van hart en vaatstelsel,I30-I52: overige hartziekten,I51: complicaties en slecht omschreven hartziekten,"I516: cardiovasculaire ziekte, niet gespecificeerd",I516,4,0.115
2023,2,95,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C26: maligne neoplasma van overige en slecht omschreven delen van spijsverteringsstelsel,"C260: tractus intestinalis, deel niet gespecificeerd",C260,6,0.098
2023,1,50,C00-D48: nieuwvormingen,C00-C97: maligne neoplasmata,C15: maligne neoplasma van oesofagus,"C159: oesofagus, niet gespecificeerd",C159,6,0.182
2023,1,55,G00-G99: ziekten van zenuwstelsel,G80-G83: cerebrale paralyse en overige paralytische syndromen,G80: infantiele cerebrale paralyse,G801: spastische diplegie,G801,2,0.052
